title;price;area;bedroom;toilet;link;address;legal;furniture;post_date;loai_bds;district
Chị gái cần tiền mua chung cư cho con nên bán nhanh 100m2 mặt tiền 5,2m tại ngã tư Lục Quân .;Giá thỏa thuận;100  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-xa-co-dong/chi-gai-can-tien-mua-chung-cu-cho-con-nen-ban-nhanh-100m2-mat-tien-5-2m-tai-nga-tu-luc-quan-pr44313082;Xã Cổ Đông, Sơn Tây, Hà Nội;N/A;N/A;18/10/2025;Đất nền/Thổ cư;N/A
Cập nhật bảng giá CC tháng 10 tại Vin OCP chính chủ view đẹp, giá rẻ, đầy đủ pháp lý cần bán gấp;3,65 tỷ;59  m²;2 PN;1 WC;https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-stu-1-3pn-chinh-chu-view-dep-re-cat-lo-phap-ly-ro-rang-mien-phi-mg-tai-vin-oceanpark-pr42207226;Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội;Sổ đỏ/ Sổ hồng.;N/A;08/10/2025;Căn hộ chung cư;N/A
Siêu hiếm đất 101m2 Phú Cát, Quốc Oai gần CNC Hoà Lạc, ĐH FPT, QL21, full thổ cư chỉ 2 tỷ;2 tỷ;101  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-duong-21-1-xa-phu-cat-1/co-hoi-sieu-hiem-100m-quoc-oai-gan-cnc-hoa-lac-dh-fpt-ql21-full-tho-cu-chi-2-ty-pr44299626;Đường 21, Xã Phú Cát, Quốc Oai, Hà Nội;Sổ đỏ.;N/A;16/10/2025;Đất nền/Thổ cư;N/A
FULL BẢNG GIÁ, CSBH DỰ ÁN THE QUEEN 360 GIẢI PHÓNG, CHIẾT KHẤU ĐẾN 10,5%, GIÁ CHỈ TỪ 7,X TỶ/CĂN;8 tỷ;90  m²;2 PN;2 WC;https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-giai-phong-phuong-phuong-liet-prj-the-queen/full-bang-gia-csbh-du-an-360-chiet-khau-den-10-5-gia-chi-tu-7-x-ty-can-pr44284377;The Queen, Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội;Hợp đồng mua bán;Đầy đủ;15/10/2025;Căn hộ chung cư;N/A
"BQL Vinhomes Smart City cập nhật quỹ căn: Studio 2tỷ; 1N+ 2.8 tỷ; 2N 3.2 tỷ; 2N+1 4tỷ; 3N 5tỷ";4,6 tỷ;64,6  m²;2 PN;2 WC;https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-sapphire-vinhomes-smart-city/bql-cap-nhat-quy-studio-2ty-1n-2-8-ty-2n-3-2-ty-2n-1-3-9ty-3n-4-5ty-pr43763673;Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội;Sổ đỏ/ Sổ hồng.;Đầy đủ.;13/10/2025;Căn hộ chung cư;N/A
Trực tiếp CĐT bán BT Ciputra có hầm đã có sổ, nhận nhà ngay giá chỉ từ 356tr/m2. Vay 0% LS 24 tháng;50 tỷ;150  m²;6 PN;5 WC;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phu-thuong-1-prj-kita-capital-ciputra/truc-tiep-cdt-ban-bt-co-ham-da-co-so-n-ngay-gia-chi-tu-356tr-m2-vay-0-ls-24-thang-pr43195112;Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;18/10/2025;Biệt thự/Liền kề;N/A
Bán căn hộ Viha Complex Viha Leciva 107 Nguyễn Tuân giá tốt nhất thị trường cập nhật liên tục 24/24;6,62 tỷ;72  m²;2 PN;N/A;https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tuan-phuong-thanh-xuan-trung-prj-viha-complex/quy-ngoai-giao-du-an-leciva-cam-ket-re-nhat-cap-nhat-24-24-pr41967566;Viha Complex, 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội;N/A;N/A;14/10/2025;Căn hộ chung cư;N/A
2.9tỷ/100m2 full thổ cư sổ đỏ, trục chính Cổ Đông, gần chợ QL21, CNC Hoà Lạc,DHQG,2 oto tránh nhau;2,9 tỷ;100  m²;N/A;N/A;https://batdongsan.com.vn/ban-dat-xa-co-dong/sieupham-40-lo-truc-chinh-gan-ql21-cnc-hoa-lac-gia-chi-tu-2-8ty-full-thocu-sodo-mat-tien-6m-pr44215674;Xã Cổ Đông, Sơn Tây, Hà Nội;Sổ đỏ/ Sổ hồng;N/A;17/10/2025;Đất nền/Thổ cư;N/A
Quỹ căn tháng 10/2025 195m2 đến 420m2 (giá từ 200-300tr/m2)view công viên, view hồ, đường to-Uy tín;63,9 tỷ;273  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-dai-mo-prj-vinhomes-green-villas/em-trang-gui-anh-chi-quy-can-tot-nhat-du-an-noi-khong-voi-ban-chenh-that-tha-duoc-viec-pr41046032;Dự án Vinhomes Green Villas, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội;N/A;N/A;18/10/2025;Biệt thự/Liền kề;N/A
N/A;9,5 tỷ;46  m²;N/A;N/A;https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-chinh-phuong-thinh-liet/-chu-ban-hoang-mai-chap-n-moi-gioi-pr44188807;179B ngõ 143, Đường Nguyễn Chính, Phường Thịnh Liệt, Hoàng Mai, Hà Nội;Sổ đỏ/ Sổ hồng;Đầy đủ;04/10/2025;Nhà riêng/Khác;N/A
